337	2023	14	1.0
443	2022	12	1.0
11	2018	-8	1.0
252	2020	15	1.0
246	2021	25	1.0
281	2018	16	1.0
157	2018	11	1.0
344	2021	13	1.0
366	2020	28	1.0
341	2022	-8	1.0
100	2023	36	1.0
479	2021	24	1.0
266	2021	-4	1.0
175	2019	-19	1.0
29	2021	5	1.0
328	2022	-5	1.0
402	2019	7	1.0
415	2019	4	1.0
1	2020	39	1.0
40	2020	36	1.0
320	2022	6	1.0
129	2019	-8	1.0
398	2019	4	1.0
265	2022	26	1.0
358	2022	33	1.0
109	2019	28	1.0
40	2018	-1	1.0
12	2019	32	1.0
42	2019	-18	1.0
371	2019	8	1.0
186	2019	7	1.0
107	2022	-10	1.0
215	2021	-6	1.0
150	2022	15	1.0
134	2021	16	1.0
177	2023	-12	1.0
407	2019	-19	1.0
451	2020	31	1.0
111	2021	-4	1.0
362	2020	16	1.0
127	2019	15	1.0
318	2019	-6	1.0
452	2018	34	1.0
3	2021	23	1.0
208	2021	34	1.0
232	2021	24	1.0
185	2022	35	1.0
171	2019	29	1.0
375	2022	-14	1.0
455	2019	-12	1.0
122	2022	1	1.0
235	2021	34	1.0
271	2021	19	1.0
18	2022	28	1.0
356	2019	36	1.0
446	2020	21	1.0
126	2020	27	1.0
101	2018	-17	1.0
432	2023	20	1.0
183	2022	20	1.0
462	2023	20	1.0
251	2021	6	1.0
394	2022	23	1.0
325	2022	29	1.0
207	2021	6	1.0
46	2022	28	1.0
247	2018	-4	1.0
455	2023	-8	1.0
219	2022	20	1.0
445	2023	0	1.0
434	2021	30	1.0
407	2021	21	1.0
43	2021	-15	1.0
284	2021	-9	1.0
276	2022	35	1.0
493	2023	12	1.0
78	2022	7	1.0
374	2018	-19	1.0
393	2022	-1	1.0
297	2018	-6	1.0
384	2022	20	1.0
239	2019	-15	1.0
457	2020	28	0.8125
37	2022	15	1.0
35	2022	7	1.0
344	2020	21	1.0
358	2021	11	1.0
427	2019	2	1.0
282	2021	23	1.0
115	2018	8	1.0
6	2019	23	1.0
431	2022	4	1.0
92	2022	1	1.0
68	2019	27	1.0
306	2022	1	1.0
369	2020	24	1.0
197	2022	32	1.0
403	2022	19	1.0
37	2023	16	1.0
296	2021	21	1.0
220	2023	20	1.0
342	2019	19	1.0
297	2022	2	1.0
300	2021	11	1.0
67	2018	-5	1.0
291	2021	1	1.0
393	2021	-7	1.0
302	2022	34	1.0
475	2021	-7	1.0
251	2022	-2	1.0
106	2022	-10	1.0
253	2021	5	1.0
171	2022	-5	1.0
167	2022	31	1.0
94	2021	23	1.0
454	2022	-1	1.0
219	2021	18	1.0
457	2018	38	1.0
128	2023	-7	1.0
202	2022	-11	1.0
78	2022	33	1.0
230	2020	36	1.0
96	2023	16	1.0
470	2021	-8	0.8200000000000001
63	2022	13	1.0
65	2021	21	1.0
315	2021	-19	1.0
265	2022	26	1.0
351	2023	2	1.0
326	2020	9	1.0
271	2020	24	1.0
323	2018	6	1.0
291	2018	34	1.0
395	2020	-3	1.0
280	2018	13	1.0
65	2021	24	1.0
208	2021	5	1.0
99	2020	36	1.0
218	2021	18	1.0
185	2019	-13	1.0
278	2019	-8	1.0
420	2019	6	1.0
404	2022	-12	1.0
318	2022	-3	1.0
129	2023	24	1.0
269	2018	-7	1.0
267	2019	-8	1.0
227	2021	13	1.0
388	2019	-5	1.0
339	2022	26	1.0
94	2022	-14	1.0
332	2022	-18	1.0
152	2023	-2	1.0
250	2022	25	1.0
175	2019	38	1.0
105	2019	-19	1.0
108	2019	22	1.0
176	2022	27	1.0
167	2019	-14	1.0
436	2021	37	1.0
217	2022	3	1.0
343	2021	15	1.0
488	2021	-18	1.0
481	2021	20	1.0
232	2023	2	1.0
213	2023	-2	1.0
251	2023	13	1.0
71	2023	7	1.0
80	2022	22	1.0
208	2022	23	1.0
254	2022	36	1.0
128	2022	-18	1.0
124	2020	17	1.0
43	2022	7	1.0
202	2022	6	1.0
192	2021	39	1.0
271	2022	-3	1.0
3	2020	-20	1.0
401	2023	6	1.0
5	2022	-6	1.0
388	2018	-11	1.0
432	2021	2	1.0
54	2022	20	0.8625
227	2021	4	1.0
34	2021	-2	1.0
20	2023	-11	1.0
170	2018	-6	1.0
113	2021	-11	1.0
374	2021	37	1.0
88	2022	-9	1.0
215	2021	-20	1.0
52	2021	34	1.0
406	2022	38	1.0
265	2020	34	1.0
296	2022	11	1.0
5	2023	-18	1.0
164	2021	35	1.0
204	2020	13	1.0
59	2023	-15	1.0
447	2019	17	1.0
442	2021	20	1.0
263	2023	38	1.0
8	2019	-3	1.0
328	2018	19	1.0
323	2021	-1	1.0
308	2022	14	1.0
272	2022	38	1.0
200	2018	21	1.0
107	2021	8	1.0
462	2018	19	1.0
159	2018	1	1.0
457	2018	36	1.0
103	2018	38	1.0
24	2021	29	1.0
100	2020	6	1.0
105	2022	-7	1.0
425	2023	14	1.0
154	2023	4	1.0
103	2019	11	1.0
93	2022	16	1.0
16	2018	-13	1.0
286	2021	4	1.0
278	2022	-7	1.0
10	2022	30	1.0
105	2023	26	1.0
149	2021	24	1.0
446	2019	4	1.0
136	2022	13	1.0
58	2022	14	1.0
119	2021	-6	1.0
374	2019	-18	1.0
219	2022	-19	1.0
207	2022	-11	1.0
400	2023	32	1.0
198	2022	-9	1.0
57	2021	39	1.0
382	2022	6	1.0
218	2019	-6	1.0
55	2021	19	1.0
260	2021	33	1.0
181	2019	22	1.0
200	2022	17	1.0
357	2020	27	1.0
292	2018	39	1.0
102	2020	-20	1.0
64	2021	-15	1.0
305	2018	13	1.0
339	2021	16	1.0
116	2018	38	1.0
279	2022	14	1.0
207	2018	-11	1.0
203	2022	-6	1.0
45	2021	-10	1.0
465	2023	20	1.0
43	2018	12	1.0
58	2021	-14	1.0
14	2023	-20	1.0
484	2023	-10	1.0
448	2018	-20	1.0
253	2019	-19	1.0
101	2020	35	1.0
107	2021	23	1.0
98	2023	25	1.0
144	2022	33	1.0
57	2020	24	1.0
358	2020	12	1.0
159	2022	-14	1.0
455	2020	38	1.0
474	2019	23	1.0
393	2022	-19	1.0
201	2022	-2	1.0
35	2021	13	1.0
409	2023	10	1.0
429	2019	27	1.0
392	2022	27	1.0
377	2021	22	1.0
263	2020	15	1.0
1	2022	-6	1.0
220	2018	31	1.0
286	2019	-20	1.0
399	2021	2	1.0
279	2023	-3	1.0
